task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	5a/28a02c	8445977	QC (Quality control on ERR377591)	COMPLETED	0	2022-11-03 22:11:13.833	39.4s	33s	88.0%	244.3 MB	2.6 GB	372.4 MB	3.9 MB
4	59/2a63cc	8445984	QC (Quality control on ERR377629)	COMPLETED	0	2022-11-03 22:11:14.182	44s	38.9s	97.4%	1.4 MB	9.5 MB	382.8 MB	3.9 MB
6	e6/8a677d	8445981	QC (Quality control on ERR417627)	COMPLETED	0	2022-11-03 22:11:14.026	3m 19s	34.8s	27.8%	150.6 MB	2.6 GB	397.3 MB	3.8 MB
3	0b/8bce7a	8445982	MAPPING (Mapping ERR377629 to the reference genome)	COMPLETED	0	2022-11-03 22:11:14.092	8m 4s	7m 58s	93.6%	236 MB	291 MB	462 MB	1.2 GB
11	b5/8734e4	8445992	FIXMATE (Correcting mate pair position, converting to bam and sorting the bam file)	COMPLETED	0	2022-11-03 22:19:18.315	1m 15s	1m 10s	94.8%	701.1 MB	17 GB	1.3 GB	416.6 MB
7	19/c3083e	8445980	MAPPING (Mapping ERR417621 to the reference genome)	COMPLETED	0	2022-11-03 22:11:13.955	9m 29s	9m 27s	99.0%	236 MB	404.4 MB	454.7 MB	1.3 GB
9	d7/6d46d6	8445976	MAPPING (Mapping ERR377582 to the reference genome)	COMPLETED	0	2022-11-03 22:11:13.803	9m 49s	9m 44s	96.5%	236 MB	355.2 MB	455.4 MB	1.3 GB
12	6f/61a040	8445993	MARKDUP (Marking duplicates on the BAM file)	COMPLETED	0	2022-11-03 22:20:33.322	34.9s	30.5s	92.6%	13.2 MB	39.5 MB	187.3 MB	186.8 MB
1	b7/a5b9d9	8445983	MAPPING (Mapping ERR377591 to the reference genome)	COMPLETED	0	2022-11-03 22:11:14.133	9m 59s	9m 57s	99.3%	188.5 MB	404.4 MB	451.6 MB	1.3 GB
15	49/63fbc4	8445996	INDEX (Marking duplicates on the BAM file)	COMPLETED	0	2022-11-03 22:21:08.337	9.9s	3.3s	85.6%	4.1 MB	30.5 MB	186.9 MB	68.6 KB
5	09/497808	8445985	MAPPING (Mapping ERR417627 to the reference genome)	COMPLETED	0	2022-11-03 22:11:14.256	10m 14s	10m 8s	96.4%	173.4 MB	349.4 MB	476.5 MB	1.2 GB
